title,content,category,credibility_label,notes
YO G News Demo Article 36: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 37: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 38: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 39: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 40: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 41: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 42: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 43: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 44: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 45: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 46: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 47: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 48: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 49: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 50: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 51: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 52: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 53: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 54: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 55: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 56: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 57: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 58: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 59: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 60: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 61: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 62: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 63: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 64: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 65: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 66: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 67: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 68: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 69: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 70: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 71: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 72: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 73: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 74: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 75: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 76: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 77: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 78: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 79: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 80: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 81: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 82: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 83: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 84: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 85: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 86: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 87: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 88: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 89: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 90: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 91: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 92: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 93: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 94: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 95: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 96: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 97: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 98: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 99: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 100: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
