title,content,credibility_label
Unknown website says all banks will shut down tomorrow - Report 46,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 47,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 48,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 49,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 50,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 51,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 52,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 53,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 54,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 55,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 56,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 57,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 58,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 59,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 60,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 61,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 62,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 63,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 64,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 65,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 66,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 67,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 68,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 69,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 70,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 71,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 72,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 73,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 74,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 75,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 76,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 77,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 78,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 79,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 80,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 81,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 82,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 83,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 84,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 85,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 86,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 87,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 88,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 89,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 90,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 91,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 92,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 93,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 94,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 95,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 96,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 97,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 98,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 99,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 100,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 101,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 102,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 103,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 104,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 105,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 106,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 107,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 108,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 109,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 110,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 111,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 112,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 113,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 114,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 115,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 116,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 117,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 118,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 119,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 120,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 121,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 122,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 123,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 124,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 125,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 126,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 127,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 128,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 129,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 130,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 131,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 132,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 133,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 134,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 135,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 136,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 137,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 138,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 139,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 140,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 141,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 142,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 143,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 144,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 145,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 146,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 147,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 148,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 149,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 150,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
